index,x_m,y_m,z_m,yaw_rad,s_m,v_ref_mps
0,-0.40,-0.92,0.0,1.57079632679,0.00,0.25
1,-0.40,-0.82,0.0,1.57079632679,0.10,0.25
2,-0.40,-0.72,0.0,1.57079632679,0.20,0.25
3,-0.40,-0.62,0.0,1.57079632679,0.30,0.25
4,-0.40,-0.52,0.0,1.57079632679,0.40,0.25
5,-0.40,-0.42,0.0,1.57079632679,0.50,0.25
6,-0.40,-0.32,0.0,1.57079632679,0.60,0.25
7,-0.40,-0.22,0.0,1.57079632679,0.70,0.25
8,-0.40,-0.12,0.0,1.57079632679,0.80,0.25
9,-0.40,-0.02,0.0,1.57079632679,0.90,0.25
10,-0.40,0.08,0.0,1.57079632679,1.00,0.25
11,-0.40,0.18,0.0,1.57079632679,1.10,0.25
12,-0.40,0.28,0.0,1.57079632679,1.20,0.25
13,-0.40,0.38,0.0,1.57079632679,1.30,0.25
14,-0.40,0.48,0.0,1.57079632679,1.40,0.25
15,-0.40,0.58,0.0,1.57079632679,1.50,0.25
16,-0.40,0.68,0.0,1.57079632679,1.60,0.25
17,-0.40,0.78,0.0,1.57079632679,1.70,0.25
18,-0.40,0.88,0.0,1.57079632679,1.80,0.25
19,-0.40,0.98,0.0,1.57079632679,1.90,0.25
20,-0.40,1.08,0.0,1.57079632679,2.00,0.25
